Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-05-28 23:25:16 UTC,exchange,,Solana (SOL) 9,73381.48336,KMNO,2909.50438,Solana (SOL) 9,4271.239393,USDC,4271.251631,0.000072428,SOL,1361.747251,4271.239393,0.0122380596,,,2qRifjG1qkm79CB6nm6nFhBBzsfFASTN5j81FjCpbAnZU75RtoNLonxoTWhAPwj2ouEoEb4CT6dKWNchmGQHDdXd,
2024-05-28 23:26:38 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000065,SOL,0.0110834946,,,,,,,-0.000100534,0.0109829606,,,,3VpqnJgocao9dP7WmsCM2cBDzrMkVVNCJTNWgqTPaBfuCeTMsucg1XB5xGfKszZ2Ps9iXfaVfN9WST5RLrRPuS6e,
2024-05-28 23:27:16 UTC,transfer,To pool,Solana (SOL) 9,154187.8837,USDC,,Solana (SOL) 9,154187.8837,USDC,,,,,154187.8837,,,,36yVSiAEt4s29Lbov6MnZh25W24fWdeXbAA7qMQSLMp8tYaDchuGZjKjZRVhThA6YBD8TBAPxwNTBwvEarNmbFPd,
2024-05-28 23:27:16 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000505,SOL,0.0861102274,,,,,,,-0.0007810717,0.0853291557,,,,36yVSiAEt4s29Lbov6MnZh25W24fWdeXbAA7qMQSLMp8tYaDchuGZjKjZRVhThA6YBD8TBAPxwNTBwvEarNmbFPd,
2024-05-28 23:27:22 UTC,transfer,,Solana (SOL) 9,10300,USDC,,Coinbase,10300,USDC,,,,,10300,,,,3VpqnJgocao9dP7WmsCM2cBDzrMkVVNCJTNWgqTPaBfuCeTMsucg1XB5xGfKszZ2Ps9iXfaVfN9WST5RLrRPuS6e,
2024-05-28 23:27:46 UTC,sell,,Coinbase,10300,USDC,10317.085,Coinbase,10300,USD,,,,-17.085,10300,,,,cdd007a5-bbfa-5759-b5fe-5f9d119e1e7b,
2024-05-28 23:29:43 UTC,transfer,From pool,Solana (SOL) 9,102664.273,USDC,,Solana (SOL) 9,102664.273,USDC,,,,,102664.273,,,,1q6e1h3vKkKHJF7yWnv98DwG3YBs9HxMtm52NThAmsF5fb4ANPKnaHKiJcfTyrSCegKiV7gES62z3jHE8vHs4Qx,
2024-05-28 23:29:43 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000045,SOL,0.0076731886,,,,,,,-0.0000696005,0.0076035881,,,,1q6e1h3vKkKHJF7yWnv98DwG3YBs9HxMtm52NThAmsF5fb4ANPKnaHKiJcfTyrSCegKiV7gES62z3jHE8vHs4Qx,
2024-05-28 23:30:26 UTC,transfer,To pool,Solana (SOL) 9,18000,USDC,,Solana (SOL) 9,18000,USDC,,,,,18000,,,,4c2jCcUmvJTvVWmKqjXnGwfmdzJQiuA7gy5F8t5UP4Pq9smQoBTHtddKw1y8HXPFPaXC1a3erVe99Vw71sxnmmrk,
2024-05-28 23:30:26 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000505,SOL,0.0861102274,,,,,,,-0.0007810717,0.0853291557,,,,4c2jCcUmvJTvVWmKqjXnGwfmdzJQiuA7gy5F8t5UP4Pq9smQoBTHtddKw1y8HXPFPaXC1a3erVe99Vw71sxnmmrk,
2024-05-28 23:32:19 UTC,crypto_withdrawal,Cost,Solana (SOL) 9,0.000065,SOL,0.0110834946,,,,,,,-0.000100534,0.0109829606,,,,2ukGnkiS99tVrMU2u3uV45UX3sda237qn8vdT3qZYbQGEdFaQCd7Yivuh1bopqeKHJpC4K82AqbcEycVpjK19xWs,
2024-05-28 23:32:45 UTC,transfer,,Solana (SOL) 9,84664.27304,USDC,,Coinbase,84664.27304,USDC,,,,,84664.27,,,,2ukGnkiS99tVrMU2u3uV45UX3sda237qn8vdT3qZYbQGEdFaQCd7Yivuh1bopqeKHJpC4K82AqbcEycVpjK19xWs,
2024-05-28 23:34:51 UTC,sell,,Coinbase,84664.27304,USDC,84687.24498,Coinbase,84664.27,USD,,,,-22.97498119,84664.27,,,,5caeed5a-943d-4043-93ce-c6c91ce39c19,
2024-05-28 23:35:23 UTC,fiat_withdrawal,,Coinbase,84664.27,USD,,,,,,,,,84664.27,,,,,
2024-05-29 17:10:38 UTC,crypto_deposit,,,,,,Coinbase,2.017471097,SUI,2.08,,,,2.08,,,,8PSsjYUi6UKcfcWSP4DfnLsUak22FxTtXTkQSiagDS3y,
2024-05-29 17:11:13 UTC,crypto_deposit,,,,,,Coinbase,200.2135129,SUI,207.1,,,,207.1,,,,6jBLzmz5eS6fUwDRF3K9WJS86G1WhGsbw1cPYHrHjvXu,
2024-05-29 18:36:14 UTC,sell,,Coinbase,202.2,SUI,209.1481977,Coinbase,205.9,USD,,0.82,USD,-4.068197702,205.9,0.82,,,f754b255-8aed-4fa0-920e-3e3699c60840,advanced trade
2024-05-29 18:36:28 UTC,fiat_withdrawal,,Coinbase,205.08,USD,,,,,,,,,205.08,,,,,
2024-05-29 20:58:21 UTC,crypto_deposit,,,,,,Knox SOl,18,SOL,3043.575036,,,,3043.575036,,,,5NMoBLwnVpRGUbce6Dg3p4xfuLRdEQv5uFjiiQa2L7JWdioizPXPUb5qs1cFVTBvKK55CeJxPGBusRxq9WEKb7Fv,
2024-05-29 21:00:11 UTC,crypto_withdrawal,,Knox SOl,10.00270872,SOL,1705.609375,,,,,,,-15.99857761,1689.610797,,,,2jadYEaUcLR1YU7zxQuy15VBiCtvBf5dBtzMDhkjwUvYTehrmXM8Zri4YQvsRJQwFEyPb3vfQnSyftSUqzP4Rjvs,
2024-05-29 21:02:09 UTC,exchange,Swap,Knox SOl,12.99803018,SOL,2197.82349,Knox SOl,12.70992883,JUCYSOL,2197.82349,,,,2195.566497,,,,5294g2cYVo7wLS8aBhVP8Hh7DY4wuRtBFWEjNyW39VfqJaSRy3FJkVkP2UzWLp1rxXA3jFm2U5VHME3Mo9fX7Z59,
2024-05-29 21:02:22 UTC,transfer,,Knox SOl,12.70992883,JUCYSOL,,Solana (SOL) 9,12.70992883,JUCYSOL,,,,,0,,,,4A1rCc2DBSFdbrxuvcNBmoXM2AeurZtCquDW1bMJxQyDKTcA1zk4spUuz6gRrrNLzvrHyQjuX3Zyh9eb7Jbv1sd9,
